projectName, it, alpha, makespan, duration;
j12012_6,100,RND,126,4.59
j12013_7,100,RND,125,4.14
j12032_2,100,RND,139,5.43
j12048_3,100,RND,120,5.71
j12043_10,100,RND,113,5.6
j1204_9,100,RND,80,3.28
j12044_7,100,RND,100,4.86
j12031_5,100,RND,226,8.85
j12054_9,100,RND,117,5.42
j12052_7,100,RND,158,7.2
j12038_8,100,RND,133,5.35
j12042_9,100,RND,115,5.18
j12027_5,100,RND,119,4.76
j12028_6,100,RND,109,4.62
j1202_7,100,RND,96,3.78
j12024_2,100,RND,93,4.05
j12015_9,100,RND,112,4.13
j12017_8,100,RND,132,4.21
j12053_1,100,RND,166,6.86
j12026_3,100,RND,180,7.07
j1203_1,100,RND,93,3.58
j12037_10,100,RND,138,5.25
j12025_4,100,RND,118,4.78
j12040_8,100,RND,106,4.52
j12050_6,100,RND,103,5.02
j12056_8,100,RND,311,13.11
j12033_4,100,RND,126,5.21
j12012_1,100,RND,150,5.18
j12046_6,100,RND,188,9.22
j12049_5,100,RND,96,5.25
j1206_8,100,RND,179,5.78
j12045_1,100,RND,109,5.34
j12030_3,100,RND,109,4.44
j12011_6,100,RND,228,6.67
j12010_7,100,RND,82,3.51
j12031_2,100,RND,218,7.75
j12048_4,100,RND,133,5.83
j12047_7,100,RND,135,6.49
j1207_9,100,RND,102,3.58
j12032_5,100,RND,146,5.2
j12057_9,100,RND,181,7.46
j12051_7,100,RND,232,9.8
j1201_7,100,RND,128,3.73
j12041_9,100,RND,131,6.03
j12024_5,100,RND,87,4.0
j1208_10,100,RND,101,3.58
j12028_1,100,RND,123,5.21
j12027_2,100,RND,125,4.84
j12056_10,100,RND,277,11.05
j12016_9,100,RND,211,6.61
j12013_10,100,RND,105,3.49
j12050_2,100,RND,119,5.17
j12054_10,100,RND,118,5.52
j12053_5,100,RND,130,5.94
j12011_10,100,RND,205,6.44
j12036_9,100,RND,252,8.75
j1203_5,100,RND,93,3.87
j12029_4,100,RND,92,4.22
j12026_7,100,RND,169,6.75
j12020_9,100,RND,81,3.5
j12045_5,100,RND,116,5.07
j12030_7,100,RND,102,4.12
j12011_2,100,RND,167,5.86
j12012_5,100,RND,179,5.1
j12049_1,100,RND,103,5.63
j12046_2,100,RND,224,9.51
j12047_3,100,RND,138,6.25
j12013_4,100,RND,123,4.0
j12032_1,100,RND,152,5.49
j12010_3,100,RND,101,3.81
j12031_6,100,RND,215,7.76
j12044_4,100,RND,101,5.25
j12021_8,100,RND,143,5.98
j1202_4,100,RND,100,3.78
j12027_6,100,RND,167,6.28
j12028_5,100,RND,109,4.31
j12037_8,100,RND,198,7.06
j12052_4,100,RND,191,8.01
j12051_3,100,RND,237,9.67
j12024_1,100,RND,94,4.38
j12060_8,100,RND,107,5.14
j1201_3,100,RND,130,4.52
j12035_10,100,RND,88,4.04
j12025_1,100,RND,87,4.38
j12050_3,100,RND,120,5.39
j12036_8,100,RND,178,7.07
j12053_4,100,RND,161,6.61
j1203_4,100,RND,79,3.61
j12026_6,100,RND,217,7.69
j12049_10,100,RND,105,5.06
j12029_5,100,RND,110,4.46
j12045_4,100,RND,105,5.19
j12020_8,100,RND,119,3.58
j12031_10,100,RND,257,9.24
j12030_6,100,RND,80,4.18
j12011_3,100,RND,218,6.82
j12033_1,100,RND,128,4.75
j12012_4,100,RND,137,4.32
j12046_3,100,RND,197,8.77
j12048_1,100,RND,114,5.47
j12047_2,100,RND,147,6.23
j12050_10,100,RND,110,5.15
j12013_5,100,RND,102,3.69
j12015_10,100,RND,96,3.8
j12010_2,100,RND,92,3.68
j12031_7,100,RND,227,8.23
j12021_9,100,RND,106,4.93
j12044_5,100,RND,102,4.95
j1202_5,100,RND,117,4.03
j12028_4,100,RND,127,5.15
j12027_7,100,RND,149,6.18
j12052_5,100,RND,178,7.68
j12037_9,100,RND,155,5.86
j12028_10,100,RND,135,4.86
j12051_2,100,RND,245,10.44
j12060_9,100,RND,104,5.01
j1201_2,100,RND,123,4.01
j12017_9,100,RND,143,4.48
j12029_1,100,RND,107,4.51
j12026_2,100,RND,192,7.34
j12040_9,100,RND,120,4.94
j12025_5,100,RND,101,4.37
j12050_7,100,RND,141,6.07
j12052_10,100,RND,155,7.15
j12033_5,100,RND,160,5.82
j12056_9,100,RND,325,12.79
j12017_10,100,RND,139,4.5
j12049_4,100,RND,103,5.01
j12046_7,100,RND,195,8.17
j1206_9,100,RND,188,6.11
j12030_2,100,RND,115,4.99
j12011_7,100,RND,165,5.63
j12010_6,100,RND,93,3.27
j12031_3,100,RND,192,7.66
j12033_10,100,RND,117,4.72
j12044_1,100,RND,101,4.97
j12047_6,100,RND,149,6.74
j12048_5,100,RND,123,5.77
j1207_8,100,RND,102,3.93
j12057_8,100,RND,171,7.02
j12013_1,100,RND,137,4.42
j12032_4,100,RND,154,5.73
j12051_6,100,RND,234,10.07
j1201_6,100,RND,86,3.49
j12024_4,100,RND,103,4.57
j12041_8,100,RND,135,6.25
j12027_3,100,RND,152,5.98
j1202_1,100,RND,91,3.9
j12016_8,100,RND,214,6.18
j12052_1,100,RND,204,8.22
j1206_2,100,RND,146,4.59
j1209_1,100,RND,93,3.34
j12056_2,100,RND,227,8.71
j12059_1,100,RND,117,5.26
j12030_9,100,RND,94,4.24
j12055_5,100,RND,112,5.15
j1205_5,100,RND,78,3.41
j12020_7,100,RND,82,3.4
j12043_5,100,RND,109,5.05
j12010_10,100,RND,70,3.52
j12026_9,100,RND,203,8.15
j12055_10,100,RND,107,5.52
j12036_7,100,RND,225,8.13
j12017_2,100,RND,132,4.21
j12018_1,100,RND,144,4.34
j12039_4,100,RND,107,4.56
j12014_5,100,RND,109,3.71
j12040_2,100,RND,101,4.52
j12041_3,100,RND,148,6.9
j12060_6,100,RND,117,5.17
j12015_4,100,RND,95,3.43
j12034_1,100,RND,89,4.27
j12034_10,100,RND,108,4.46
j12038_5,100,RND,119,4.62
j12016_3,100,RND,258,7.49
j12037_6,100,RND,183,6.43
j12027_8,100,RND,154,6.2
j12042_4,100,RND,114,5.29
j1204_4,100,RND,80,3.55
j12021_6,100,RND,126,5.2
j12054_4,100,RND,140,6.04
j12031_8,100,RND,212,7.8
j12057_3,100,RND,194,8.17
j12022_1,100,RND,112,5.07
j1207_3,100,RND,121,4.22
j12055_1,100,RND,113,5.21
j12011_8,100,RND,173,5.53
j12020_3,100,RND,87,3.35
j1205_1,100,RND,93,3.51
j1209_5,100,RND,115,3.6
j1206_6,100,RND,166,5.47
j12046_8,100,RND,199,8.66
j12023_4,100,RND,110,4.81
j12059_5,100,RND,119,5.61
j12056_6,100,RND,244,9.69
j12036_10,100,RND,235,7.99
j12035_4,100,RND,116,4.6
j12014_1,100,RND,100,3.61
j12050_8,100,RND,120,5.57
j12040_6,100,RND,99,4.35
j12043_1,100,RND,104,5.43
j12018_5,100,RND,130,3.89
j12036_3,100,RND,254,8.77
j12017_6,100,RND,139,4.32
j12016_7,100,RND,196,5.81
j12037_2,100,RND,152,5.46
j12038_1,100,RND,127,4.9
j1209_10,100,RND,98,3.97
j12019_4,100,RND,124,3.84
j12012_10,100,RND,153,4.43
j12057_10,100,RND,188,7.51
j12041_7,100,RND,120,5.67
j12060_2,100,RND,94,4.69
j1201_9,100,RND,123,4.47
j12051_9,100,RND,239,9.59
j12034_5,100,RND,114,4.77
j12057_7,100,RND,177,7.53
j12058_4,100,RND,162,6.7
j1207_7,100,RND,126,4.28
j1208_4,100,RND,121,3.99
j12022_5,100,RND,108,4.88
j12047_9,100,RND,155,7.26
j12021_2,100,RND,117,4.81
j12010_9,100,RND,78,3.45
j12011_9,100,RND,191,5.1
j12020_2,100,RND,102,3.55
j1206_7,100,RND,198,6.17
j1209_4,100,RND,92,3.57
j12023_5,100,RND,103,4.56
j12046_9,100,RND,172,9.11
j12016_10,100,RND,234,6.06
j12053_10,100,RND,149,6.58
j12056_7,100,RND,329,12.26
j12059_4,100,RND,122,5.52
j12050_9,100,RND,103,5.37
j12035_5,100,RND,107,4.5
j12040_7,100,RND,98,4.34
j12036_2,100,RND,242,8.59
j12017_7,100,RND,157,4.83
j12018_4,100,RND,107,3.48
j12039_1,100,RND,107,4.27
j12019_5,100,RND,110,3.59
j12016_6,100,RND,219,6.64
j12037_3,100,RND,156,5.81
j12042_1,100,RND,112,5.43
j12041_6,100,RND,124,5.4
j12060_3,100,RND,95,4.67
j1201_8,100,RND,121,4.06
j12015_1,100,RND,83,3.51
j12034_4,100,RND,104,4.62
j12051_8,100,RND,225,10.65
j12058_5,100,RND,132,5.84
j12057_6,100,RND,202,8.03
j1208_5,100,RND,114,3.95
j1207_6,100,RND,139,4.81
j12047_8,100,RND,145,6.72
j12022_4,100,RND,97,4.31
j12021_3,100,RND,145,5.48
j1204_1,100,RND,76,3.54
j12032_10,100,RND,145,5.77
j12054_1,100,RND,115,5.38
j12010_8,100,RND,123,3.95
j12023_1,100,RND,127,4.99
j1206_3,100,RND,153,5.29
j12056_3,100,RND,266,10.13
j12055_4,100,RND,99,4.98
j12030_8,100,RND,88,4.23
j12030_10,100,RND,89,4.32
j1205_4,100,RND,101,4.2
j12020_6,100,RND,84,3.49
j12026_8,100,RND,184,7.78
j12043_4,100,RND,107,5.45
j12048_10,100,RND,125,5.93
j12039_5,100,RND,114,4.69
j12036_6,100,RND,243,9.12
j12017_3,100,RND,111,3.95
j12035_1,100,RND,88,4.03
j12014_4,100,RND,103,3.59
j12040_3,100,RND,99,4.26
j12029_10,100,RND,103,4.49
j12041_2,100,RND,145,6.55
j12060_7,100,RND,98,4.74
j12015_5,100,RND,88,3.46
j12016_2,100,RND,246,7.33
j12037_7,100,RND,169,6.1
j12038_4,100,RND,165,5.83
j12019_1,100,RND,102,3.83
j12042_5,100,RND,130,6.31
j12027_9,100,RND,141,5.87
j1204_5,100,RND,76,3.44
j12021_7,100,RND,111,4.61
j12031_9,100,RND,201,8.03
j12054_5,100,RND,120,5.54
j12057_2,100,RND,172,7.01
j12058_1,100,RND,157,6.17
j12014_10,100,RND,87,3.6
j12051_10,100,RND,255,11.28
j1207_2,100,RND,141,4.66
j1208_1,100,RND,116,4.02
