problemType, makespan, GRASP, diff
j306_7, 0.23, 0.59, 0.36
j3011_3, 0.02, 0.81, 0.79
j3030_6, 1.0, 0.85, -0.15000000000000002
j3045_4, 2.17, 1.24, -0.9299999999999999
j3020_8, 0.01, 0.63, 0.62
j3029_5, 20.72, 1.35, -19.369999999999997
j3026_6, 0.1, 0.88, 0.78
j3045_10, 0.38, 1.42, 1.04
j3036_8, 0.01, 0.82, 0.8099999999999999
j3025_1, 64.75, 1.41, -63.34
j3024_1, 0.01, 0.95, 0.94
j3039_10, 0.01, 0.75, 0.74
j3037_8, 0.18, 1.0, 0.8200000000000001
j301_9, 0.1, 0.56, 0.4600000000000001
j3028_5, 0.01, 0.75, 0.74
j3027_6, 0.01, 0.67, 0.66
j3044_4, 0.01, 0.66, 0.65
j3021_8, 1.83, 0.93, -0.9
j308_4, 0.0, 0.55, 0.55
j307_7, 0.01, 0.66, 0.65
j3031_6, 0.01, 0.73, 0.72
j3010_3, 8.22, 0.84, -7.380000000000001
j3041_10, 7.42, 1.43, -5.99
j3032_1, 0.0, 0.69, 0.69
j3013_4, 48.57, 0.91, -47.660000000000004
j3047_3, 0.06, 0.77, 0.71
j3046_2, 1.73, 0.94, -0.79
j3012_5, 0.01, 0.59, 0.58
j305_1, 2.81, 0.72, -2.09
j306_6, 0.04, 0.59, 0.5499999999999999
j309_5, 3.59, 0.85, -2.7399999999999998
j3011_2, 0.14, 0.7, 0.5599999999999999
j3030_7, 0.42, 0.86, 0.44
j3020_9, 0.01, 0.57, 0.5599999999999999
j3045_5, 0.62, 1.17, 0.5499999999999999
j3020_10, 0.0, 0.54, 0.54
j3026_7, 0.03, 0.75, 0.72
j3029_4, 26.29, 1.26, -25.029999999999998
j3036_9, 0.01, 0.72, 0.71
j3016_9, 0.01, 0.55, 0.54
j3027_2, 0.02, 0.75, 0.73
j3028_1, 0.01, 0.77, 0.76
j308_10, 0.01, 0.64, 0.63
j3041_9, 0.55, 1.39, 0.8399999999999999
j3024_5, 0.01, 0.62, 0.61
j304_4, 0.01, 0.6, 0.59
j3032_5, 0.01, 0.58, 0.57
j3047_7, 0.06, 0.97, 0.9099999999999999
j3048_4, 0.01, 1.56, 1.55
j3022_10, 0.67, 1.52, 0.85
j3031_2, 0.02, 2.22, 2.2
j3010_7, 0.47, 2.09, 1.6199999999999999
j307_3, 0.03, 1.63, 1.5999999999999999
j3011_6, 0.02, 0.68, 0.66
j3030_3, 1.46, 0.88, -0.58
j309_1, 423.46, 1.07, -422.39
j306_2, 1.44, 0.75, -0.69
j3045_1, 2.15, 1.28, -0.8699999999999999
j3046_6, 1.7, 0.87, -0.83
j305_5, 0.17, 0.87, 0.7
j3043_10, 0.02, 0.82, 0.7999999999999999
j3012_1, 0.01, 0.52, 0.51
j3033_4, 0.01, 1.01, 1.0
j3025_4, 10.81, 1.11, -9.700000000000001
j3040_8, 0.01, 0.95, 0.94
j3026_3, 0.02, 0.76, 0.74
j3017_8, 0.04, 0.81, 0.77
j3018_10, 0.03, 0.61, 0.58
j3031_9, 0.33, 0.63, 0.3
j307_8, 0.01, 0.48, 0.47
j3021_7, 1.51, 0.84, -0.67
j3042_5, 0.01, 0.77, 0.76
j3027_9, 0.02, 0.72, 0.7
j301_6, 0.04, 0.54, 0.5
j3019_1, 0.01, 0.57, 0.5599999999999999
j3038_4, 0.02, 0.86, 0.84
j3037_7, 0.37, 1.1, 0.7300000000000001
j3016_2, 0.01, 0.52, 0.51
j3015_5, 7.57, 0.66, -6.91
j3025_10, 27.03, 0.86, -26.17
j302_1, 0.02, 0.51, 0.49
j3041_2, 0.43, 1.19, 0.76
j3040_3, 0.01, 0.86, 0.85
j3014_4, 106.3, 0.65, -105.64999999999999
j3035_1, 0.01, 0.78, 0.77
j3017_3, 0.01, 0.67, 0.66
j3036_6, 0.02, 0.56, 0.54
j3039_5, 0.01, 0.76, 0.75
j3026_8, 0.08, 0.9, 0.8200000000000001
j3043_4, 0.01, 1.07, 1.06
j3044_10, 0.01, 0.83, 0.82
j3020_6, 0.01, 0.66, 0.65
j3030_8, 0.47, 0.62, 0.15000000000000002
j306_9, 0.23, 0.57, 0.33999999999999997
j3023_1, 0.01, 0.77, 0.76
j3010_8, 3.81, 0.68, -3.13
j3021_3, 0.22, 0.93, 0.7100000000000001
j3047_8, 0.01, 0.68, 0.67
j3022_4, 0.04, 0.62, 0.58
j302_5, 0.02, 0.59, 0.57
j3034_4, 0.0, 0.87, 0.87
j3015_1, 0.01, 0.56, 0.55
j3041_6, 0.2, 1.39, 1.19
j3042_1, 0.02, 0.76, 0.74
j3046_10, 1.39, 0.8, -0.5899999999999999
j3037_3, 0.4, 1.2, 0.7999999999999999
j3016_6, 0.01, 0.67, 0.66
j3019_5, 0.02, 0.56, 0.54
j301_2, 0.11, 0.61, 0.5
j3039_1, 0.01, 0.8, 0.79
j3018_4, 0.01, 0.72, 0.71
j3017_7, 0.05, 0.73, 0.6799999999999999
j3036_2, 0.01, 0.61, 0.6
j3040_7, 0.01, 0.62, 0.61
j3027_10, 0.01, 0.77, 0.76
j303_4, 0.01, 0.84, 0.83
j3035_5, 0.02, 0.85, 0.83
j3023_5, 0.01, 0.69, 0.6799999999999999
j3046_9, 0.25, 0.71, 0.45999999999999996
j3020_2, 0.01, 0.8, 0.79
j3011_9, 0.01, 0.65, 0.64
j3023_10, 0.02, 0.69, 0.6699999999999999
j3010_9, 0.01, 0.75, 0.74
j3021_2, 1.1, 0.82, -0.28000000000000014
j3022_5, 0.14, 0.84, 0.7
j3047_9, 0.01, 1.11, 1.1
j302_4, 0.02, 0.95, 0.9299999999999999
j3034_5, 0.02, 0.98, 0.96
j3041_7, 3.71, 1.26, -2.45
j3019_4, 0.02, 0.58, 0.5599999999999999
j309_10, 64.67, 1.04, -63.63
j3038_1, 0.01, 0.77, 0.76
j3037_2, 0.21, 1.26, 1.05
j3016_7, 0.01, 0.63, 0.62
j301_3, 0.12, 0.64, 0.52
j3017_6, 0.01, 0.84, 0.83
