problemType, makespan, GRASP, diff
j12020_9, 80, 82, 2
j12045_5, 116, 119, 3
j12030_7, 93, 101, 8
j12011_2, 157, 172, 15
j12012_5, 162, 183, 21
j12049_1, 96, 103, 7
j12046_2, 198, 230, 32
j12047_3, 125, 137, 12
j12013_4, 112, 124, 12
j12032_1, 147, 156, 9
j12010_3, 99, 103, 4
j12031_6, 191, 209, 18
j12044_4, 95, 101, 6
j12021_8, 127, 148, 21
j1202_4, 95, 100, 5
j12027_6, 145, 160, 15
j12028_5, 102, 107, 5
j12037_8, 178, 198, 20
j12052_4, 170, 188, 18
j12051_3, 219, 235, 16
j12024_1, 93, 93, 0
j12060_8, 101, 107, 6
j1201_3, 125, 137, 12
j12035_10, 86, 88, 2
j12025_1, 82, 87, 5
j12050_3, 111, 123, 12
j12036_8, 171, 184, 13
j12053_4, 145, 162, 17
j1203_4, 71, 77, 6
j12026_6, 187, 221, 34
j12049_10, 97, 105, 8
j12029_5, 102, 108, 6
j12045_4, 103, 105, 2
j12020_8, 107, 119, 12
j12031_10, 225, 250, 25
j12030_6, 79, 84, 5
j12011_3, 202, 215, 13
j12033_1, 107, 127, 20
j12012_4, 125, 136, 11
j12046_3, 175, 187, 12
j12048_1, 100, 113, 13
j12047_2, 132, 144, 12
j12050_10, 103, 109, 6
j12013_5, 91, 104, 13
j12015_10, 91, 97, 6
j12010_2, 91, 93, 2
j12031_7, 205, 211, 6
j12021_9, 102, 105, 3
j12044_5, 98, 102, 4
j1202_5, 103, 117, 14
j12028_4, 112, 133, 21
j12027_7, 125, 148, 23
j12052_5, 168, 182, 14
j12037_9, 142, 153, 11
j12028_10, 116, 136, 20
j12051_2, 220, 231, 11
j12060_9, 101, 105, 4
j1201_2, 109, 124, 15
j12017_9, 134, 139, 5
j12029_1, 104, 107, 3
j12026_2, 169, 187, 18
j12040_9, 117, 127, 10
j12025_5, 100, 101, 1
j12050_7, 137, 141, 4
j12052_10, 143, 157, 14
j12033_5, 142, 161, 19
j12056_9, 287, 324, 37
j12017_10, 134, 137, 3
j12049_4, 96, 102, 6
j12046_7, 170, 195, 25
j1206_9, 160, 190, 30
j12030_2, 112, 113, 1
j12011_7, 162, 170, 8
j12010_6, 92, 93, 1
j12031_3, 173, 199, 26
j12033_10, 106, 118, 12
j12044_1, 100, 103, 3
j12047_6, 137, 152, 15
j12048_5, 110, 120, 10
j1207_8, 97, 102, 5
j12057_8, 162, 173, 11
j12013_1, 126, 137, 11
j12032_4, 135, 155, 20
j12051_6, 214, 235, 21
j1201_6, 84, 88, 4
j12024_4, 101, 102, 1
j12041_8, 138, 132, -6
j12027_3, 144, 156, 12
j1202_1, 87, 98, 11
j12016_8, 194, 208, 14
j12052_1, 176, 204, 28
j1206_2, 134, 148, 14
j1209_1, 88, 93, 5
j12056_2, 204, 229, 25
j12059_1, 114, 118, 4
j12030_9, 93, 94, 1
j12055_5, 106, 109, 3
j1205_5, 77, 78, 1
j12020_7, 81, 82, 1
j12043_5, 105, 108, 3
j12010_10, 66, 73, 7
j12026_9, 172, 198, 26
j12055_10, 100, 106, 6
j12036_7, 208, 226, 18
j12017_2, 123, 132, 9
j12018_1, 138, 146, 8
j12039_4, 98, 108, 10
j12014_5, 96, 110, 14
j12040_2, 90, 106, 16
j12041_3, 141, 153, 12
j12060_6, 110, 118, 8
j12015_4, 82, 96, 14
j12034_1, 78, 89, 11
j12034_10, 101, 110, 9
j12038_5, 113, 121, 8
j12016_3, 234, 257, 23
j12037_6, 163, 179, 16
j12027_8, 140, 165, 25
j12042_4, 104, 117, 13
j1204_4, 75, 81, 6
j12021_6, 109, 129, 20
j12054_4, 120, 137, 17
j12031_8, 191, 211, 20
j12057_3, 184, 202, 18
j12022_1, 101, 110, 9
j1207_3, 99, 119, 20
j12055_1, 100, 111, 11
j12011_8, 162, 173, 11
j12020_3, 77, 88, 11
j1205_1, 92, 93, 1
j1209_5, 114, 115, 1
j1206_6, 154, 162, 8
j12046_8, 176, 198, 22
j12023_4, 106, 111, 5
j12059_5, 106, 114, 8
j12056_6, 213, 242, 29
j12036_10, 215, 231, 16
j12035_4, 101, 116, 15
j12014_1, 85, 98, 13
j12050_8, 112, 119, 7
j12040_6, 90, 98, 8
j12043_1, 105, 107, 2
j12018_5, 118, 128, 10
j12036_3, 228, 246, 18
j12017_6, 136, 137, 1
j12016_7, 185, 201, 16
j12037_2, 145, 150, 5
j12038_1, 108, 125, 17
j1209_10, 84, 96, 12
j12019_4, 106, 124, 18
j12012_10, 143, 150, 7
j12057_10, 167, 188, 21
j12041_7, 109, 119, 10
j12060_2, 83, 97, 14
j1201_9, 112, 120, 8
j12051_9, 210, 223, 13
j12034_5, 103, 115, 12
j12057_7, 166, 179, 13
j12058_4, 145, 158, 13
j1207_7, 117, 126, 9
j1208_4, 94, 120, 26
j12022_5, 93, 101, 8
j12047_9, 144, 155, 11
j12021_2, 117, 117, 0
j12010_9, 77, 79, 2
j12011_9, 172, 187, 15
j12020_2, 99, 103, 4
j1206_7, 168, 199, 31
j1209_4, 86, 92, 6
j12023_5, 99, 104, 5
j12046_9, 165, 184, 19
j12016_10, 213, 231, 18
j12053_10, 132, 149, 17
j12056_7, 282, 341, 59
j12059_4, 108, 121, 13
j12050_9, 101, 106, 5
j12035_5, 92, 108, 16
j12040_7, 91, 100, 9
j12036_2, 223, 244, 21
j12017_7, 146, 153, 7
j12018_4, 100, 106, 6
j12039_1, 95, 109, 14
j12019_5, 103, 120, 17
j12016_6, 205, 217, 12
j12037_3, 139, 153, 14
j12042_1, 108, 114, 6
j12041_6, 113, 121, 8
j12060_3, 89, 91, 2
j1201_8, 109, 118, 9
j12015_1, 81, 82, 1
j12034_4, 95, 107, 12
j12051_8, 206, 232, 26
j12058_5, 120, 131, 11
j12057_6, 188, 205, 17
j1208_5, 103, 112, 9
j1207_6, 124, 145, 21
j12047_8, 133, 148, 15
j12022_4, 90, 98, 8
j12021_3, 143, 150, 7
j1204_1, 74, 78, 4
j12032_10, 131, 151, 20
j12054_1, 104, 115, 11
j12010_8, 114, 123, 9
j12023_1, 107, 126, 19
j1206_3, 135, 150, 15
j12056_3, 240, 255, 15
j12055_4, 90, 101, 11
j12030_8, 79, 87, 8
j12030_10, 86, 88, 2
j1205_4, 97, 103, 6
j12020_6, 80, 84, 4
j12026_8, 176, 195, 19
j12043_4, 105, 107, 2
j12048_10, 111, 123, 12
j12039_5, 106, 117, 11
j12036_6, 225, 242, 17
j12017_3, 108, 114, 6
j12035_1, 87, 88, 1
j12014_4, 88, 100, 12
j12040_3, 87, 100, 13
j12029_10, 96, 107, 11
j12041_2, 141, 139, -2
j12060_7, 94, 101, 7
j12015_5, 87, 88, 1
j12016_2, 231, 246, 15
j12037_7, 160, 169, 9
j12038_4, 140, 161, 21
j12019_1, 88, 104, 16
j12042_5, 120, 130, 10
j12027_9, 127, 139, 12
j1204_5, 74, 75, 1
j12021_7, 111, 109, -2
j12031_9, 189, 203, 14
j12054_5, 109, 121, 12
j12057_2, 161, 174, 13
j12058_1, 141, 159, 18
j12014_10, 81, 87, 6
j12051_10, 225, 256, 31
j1207_2, 113, 139, 26
j1208_1, 95, 118, 23
