projectName, alpha, makespan, duration;
j6043_10,100,RND,79,1.22
j6043_10,200,RND,79,2.46
j6027_7,100,RND,84,0.98
j6027_7,200,RND,84,1.96
j6028_4,100,RND,85,1.18
j6028_4,200,RND,85,2.32
j6037_9,100,RND,99,1.54
j6037_9,200,RND,97,3.05
j609_4,100,RND,95,1.17
j609_4,200,RND,99,2.35
j606_7,100,RND,66,0.74
j606_7,200,RND,64,1.49
j6031_7,100,RND,77,0.95
j6031_7,200,RND,77,1.89
j6010_2,100,RND,68,0.83
j6010_2,200,RND,67,1.63
j6044_5,100,RND,75,0.95
j6044_5,200,RND,75,1.9
j6021_9,100,RND,93,1.39
j6021_9,200,RND,88,2.78
j6047_2,100,RND,68,0.95
j6047_2,200,RND,67,1.89
j6048_1,100,RND,72,1.01
j6048_1,200,RND,72,2.03
j6013_5,100,RND,103,1.24
j6013_5,200,RND,104,2.47
j6011_7,100,RND,71,0.81
j6011_7,200,RND,71,1.62
j6030_2,100,RND,72,0.97
j6030_2,200,RND,73,1.88
j608_1,100,RND,65,0.74
j608_1,200,RND,65,1.49
j607_2,100,RND,86,1.03
j607_2,200,RND,86,2.07
j604_5,100,RND,76,0.86
j604_5,200,RND,76,1.72
j6039_10,100,RND,75,1.12
j6039_10,200,RND,75,2.24
j6033_5,100,RND,112,1.48
j6033_5,200,RND,110,2.95
j6046_7,100,RND,81,1.21
j6046_7,200,RND,80,2.46
j6025_5,100,RND,95,1.4
j6025_5,200,RND,96,2.79
j6040_9,100,RND,91,1.16
j6040_9,200,RND,91,2.33
j6041_10,100,RND,116,1.67
j6041_10,200,RND,114,3.33
j6017_9,100,RND,77,1.14
j6017_9,200,RND,77,2.28
j6026_2,100,RND,75,0.99
j6026_2,200,RND,71,1.99
j6029_1,100,RND,111,1.32
j6029_1,200,RND,101,2.64
j6027_3,100,RND,80,1.06
j6027_3,200,RND,77,2.12
j6020_10,100,RND,71,0.88
j6020_10,200,RND,71,1.76
j6016_8,100,RND,69,0.8
j6016_8,200,RND,69,1.59
j6041_8,100,RND,144,1.98
j6041_8,200,RND,144,3.96
j6024_4,100,RND,79,0.97
j6024_4,200,RND,79,1.87
j6048_5,100,RND,102,1.33
j6048_5,200,RND,102,2.67
j6047_6,100,RND,79,1.1
j6047_6,200,RND,80,2.22
j605_4,100,RND,75,0.91
j605_4,200,RND,73,1.83
j6032_4,100,RND,57,0.82
j6032_4,200,RND,57,1.64
j6013_1,100,RND,122,1.37
j6013_1,200,RND,118,2.77
j6031_3,100,RND,67,0.89
j6031_3,200,RND,67,1.77
j6010_6,100,RND,73,0.82
j6010_6,200,RND,73,1.65
j606_3,100,RND,73,0.84
j606_3,200,RND,73,1.68
j6044_1,100,RND,85,1.2
j6044_1,200,RND,85,2.41
j604_2,100,RND,61,0.75
j604_2,200,RND,61,1.47
j6012_7,100,RND,72,0.85
j6012_7,200,RND,72,1.68
j6033_2,100,RND,108,1.51
j6033_2,200,RND,108,3.03
j6030_5,100,RND,78,0.96
j6030_5,200,RND,77,1.93
j607_5,100,RND,72,0.81
j607_5,200,RND,72,1.6
j608_6,100,RND,57,0.63
j608_6,200,RND,57,1.27
j6011_10,100,RND,60,0.82
j6011_10,200,RND,61,1.65
j6045_7,100,RND,127,1.71
j6045_7,200,RND,123,3.44
j6029_6,100,RND,173,2.07
j6029_6,200,RND,169,4.2
j6026_5,100,RND,63,0.97
j6026_5,200,RND,64,1.92
j6043_9,100,RND,74,1.1
j6043_9,200,RND,73,2.19
j6039_8,100,RND,78,1.14
j6039_8,200,RND,78,2.37
j6014_9,100,RND,64,0.8
j6014_9,200,RND,62,1.57
j6025_2,100,RND,108,1.4
j6025_2,200,RND,111,2.76
j6024_3,100,RND,68,0.81
j6024_3,200,RND,68,1.64
j6015_8,100,RND,80,0.84
j6015_8,200,RND,80,1.69
j6038_9,100,RND,68,1.08
j6038_9,200,RND,68,2.15
j6042_8,100,RND,87,1.27
j6042_8,200,RND,87,2.57
j6027_4,100,RND,61,0.83
j6027_4,200,RND,61,1.66
j6028_7,100,RND,76,0.99
j6028_7,200,RND,76,1.96
j6044_6,100,RND,82,1.21
j6044_6,200,RND,82,2.42
j6031_4,100,RND,69,0.88
j6031_4,200,RND,69,1.76
j6010_1,100,RND,95,1.08
j6010_1,200,RND,96,2.14
