projectName, alpha, makespan, duration;
j9019_6,200,RND,137,7.35
j907_4,100,0.25,87,2.53
j907_4,100,0.5,87,2.22
j907_4,100,0.75,87,2.28
j907_4,100,RND,87,2.31
j907_4,200,0.25,87,4.4
j907_4,200,0.5,87,4.45
j907_4,200,0.75,87,4.66
j907_4,200,RND,87,4.41
j9012_7,100,0.25,78,2.28
j9012_7,100,0.5,78,2.37
j9012_7,100,0.75,78,2.2
j9012_7,100,RND,78,2.28
j9012_7,200,0.25,78,4.57
j9012_7,200,0.5,78,4.46
j9012_7,200,0.75,78,5.1
j9012_7,200,RND,78,4.95
j9038_4,100,0.25,92,2.94
j9038_4,100,0.5,91,3.09
j9038_4,100,0.75,91,3.03
j9038_4,100,RND,90,2.95
j9038_4,200,0.25,91,6.1
j9038_4,200,0.5,91,6.06
j9038_4,200,0.75,92,5.61
j9038_4,200,RND,92,6.1
j9044_7,100,0.25,94,3.19
j9044_7,100,0.5,94,3.08
j9044_7,100,0.75,94,2.97
j9044_7,100,RND,94,3.01
j9044_7,200,0.25,94,6.26
j9044_7,200,0.5,94,6.05
j9044_7,200,0.75,94,5.96
j9044_7,200,RND,94,6.05
j9015_6,100,0.25,62,2.1
j9015_6,100,0.5,62,1.88
j9015_6,100,0.75,63,1.86
j9015_6,100,RND,62,1.91
j9015_6,200,0.25,62,3.85
j9015_6,200,0.5,62,3.83
j9015_6,200,0.75,62,3.94
j9015_6,200,RND,62,3.8
j9034_1,100,0.25,87,2.96
j9034_1,100,0.5,84,3.0
j9034_1,100,0.75,84,2.93
j9034_1,100,RND,84,2.84
j9034_1,200,0.25,87,5.89
j9034_1,200,0.5,84,5.82
j9034_1,200,0.75,84,5.97
j9034_1,200,RND,84,5.97
j9047_9,100,0.25,89,3.08
j9047_9,100,0.5,88,3.07
j9047_9,100,0.75,88,3.01
j9047_9,100,RND,88,3.08
j9047_9,200,0.25,89,6.23
j9047_9,200,0.5,88,6.32
j9047_9,200,0.75,88,6.6
j9047_9,200,RND,88,6.13
j9039_3,100,0.25,84,2.7
j9039_3,100,0.5,84,2.66
j9039_3,100,0.75,84,2.84
j9039_3,100,RND,84,2.7
