projectName, it, alpha, makespan, duration;
j1204_4,200,0.25,80,8.17
j1204_4,200,0.5,80,8.31
j1204_4,200,0.75,78,8.33
j1204_4,200,RND,80,8.08
j12014_1,100,0.25,99,4.17
j12014_1,100,0.5,99,4.3
j12014_1,100,0.75,99,4.19
j12014_1,100,RND,100,4.22
j12014_1,200,0.25,97,8.37
j12014_1,200,0.5,97,8.49
j12014_1,200,0.75,99,8.46
j12014_1,200,RND,97,8.49
j12058_7,100,0.25,162,7.96
j12058_7,100,0.5,156,7.59
j12058_7,100,0.75,158,7.55
j12058_7,100,RND,158,7.79
j12058_7,200,0.25,162,15.34
j12058_7,200,0.5,159,15.5
j12058_7,200,0.75,161,15.18
j12058_7,200,RND,161,15.53
j12017_7,100,0.25,155,5.54
j12017_7,100,0.5,155,5.49
j12017_7,100,0.75,151,5.64
j12017_7,100,RND,152,5.6
j12017_7,200,0.25,153,11.18
j12017_7,200,0.5,152,11.21
j12017_7,200,0.75,153,11.12
j12017_7,200,RND,151,11.26
j1203_10,100,0.25,110,4.77
j1203_10,100,0.5,109,4.67
j1203_10,100,0.75,111,4.85
j1203_10,100,RND,110,4.91
j1203_10,200,0.25,111,9.52
j1203_10,200,0.5,108,9.76
j1203_10,200,0.75,107,9.65
j1203_10,200,RND,107,9.58
j1207_6,100,0.25,136,5.57
j1207_6,100,0.5,133,5.5
j1207_6,100,0.75,136,5.52
j1207_6,100,RND,138,5.53
j1207_6,200,0.25,139,11.13
j1207_6,200,0.5,135,10.89
j1207_6,200,0.75,141,10.95
j1207_6,200,RND,136,10.92
j12049_8,100,0.25,124,6.29
j12049_8,100,0.5,120,6.48
j12049_8,100,0.75,121,6.33
j12049_8,100,RND,122,6.71
j12049_8,200,0.25,121,12.56
j12049_8,200,0.5,121,12.79
j12049_8,200,0.75,120,12.4
j12049_8,200,RND,123,12.81
j12024_5,100,0.25,88,4.5
j12024_5,100,0.5,88,4.72
j12024_5,100,0.75,87,5.61
j12024_5,100,RND,87,4.64
j12024_5,200,0.25,88,9.44
j12024_5,200,0.5,87,9.22
j12024_5,200,0.75,87,9.53
j12024_5,200,RND,87,9.33
j1209_2,100,0.25,98,4.33
j1209_2,100,0.5,99,4.25
j1209_2,100,0.75,99,4.39
j1209_2,100,RND,99,4.32
j1209_2,200,0.25,99,8.66
j1209_2,200,0.5,100,8.8
j1209_2,200,0.75,98,8.61
j1209_2,200,RND,99,8.69
j12021_6,100,0.25,128,6.0
j12021_6,100,0.5,128,6.21
j12021_6,100,0.75,127,5.94
j12021_6,100,RND,126,6.07
j12021_6,200,0.25,126,12.08
j12021_6,200,0.5,126,11.95
j12021_6,200,0.75,125,12.0
j12021_6,200,RND,127,11.89
j12048_8,100,0.25,123,6.21
j12048_8,100,0.5,121,6.23
j12048_8,100,0.75,122,6.29
j12048_8,100,RND,123,6.24
j12048_8,200,0.25,123,12.48
j12048_8,200,0.5,120,12.41
j12048_8,200,0.75,121,12.77
j12048_8,200,RND,120,12.57
j12040_7,100,0.25,99,5.03
j12040_7,100,0.5,99,5.1
j12040_7,100,0.75,97,5.02
j12040_7,100,RND,99,5.08
j12040_7,200,0.25,99,10.05
j12040_7,200,0.5,99,10.3
j12040_7,200,0.75,98,10.18
j12040_7,200,RND,99,10.26
j12040_3,100,0.25,99,4.88
j12040_3,100,0.5,100,4.86
j12040_3,100,0.75,98,4.91
j12040_3,100,RND,99,4.83
j12040_3,200,0.25,98,10.07
j12040_3,200,0.5,98,9.7
j12040_3,200,0.75,100,9.68
j12040_3,200,RND,98,9.82
j12038_3,100,0.25,167,6.42
j12038_3,100,0.5,165,6.69
j12038_3,100,0.75,165,6.57
j12038_3,100,RND,163,6.6
j12038_3,200,0.25,164,14.89
j12038_3,200,0.5,164,16.05
j12038_3,200,0.75,163,19.61
j12038_3,200,RND,164,19.96
